onset	duration	block	counterbalance	ChosenProbeColor	CorrectProbeColor	CurrentTask	LastITI	ProbeLoc	ProbeMatch	ProbeType	SeqStartTime	SetSize	ThisITI	centralJitter	chooseSequence	correctResp	error	msecProbeRT	probeACC	probeStart	probert	response	runStart	scannerStart	stimFlip	stimStart	subject	trialStart
6.0	7.5	1	2	2	27	2	6.5	2	99	2	0.0	3	0.0	0	16	27	-3.0	None	3	2336904.0	9999.0	24.0	2336902.0	2336896.0	2336902.0	2336902.0	208	2336902.0
16.0	7.5	1	2	5	59	2	6.5	6	99	2	10.0	5	2.5	0	16	59	-12.0	None	12	2336914.0	9999.0	47.0	2336902.0	2336896.0	2336912.0	2336912.0	208	2336910.0
24.5	7.5	1	2	3	132	2	6.5	5	99	2	18.5	7	1.0	0	16	132	-18.0	None	18	2336922.0	9999.0	114.0	2336902.0	2336896.0	2336921.0	2336921.0	208	2336920.0
33.0	7.5	1	2	3	141	2	6.5	5	99	2	27.0	4	1.0	0	16	141	4.0	None	4	2336931.0	9999.0	145.0	2336902.0	2336896.0	2336929.0	2336929.0	208	2336928.0
41.5	7.5	1	2	2	55	2	6.5	4	99	2	35.5	3	1.0	0	16	55	3.0	None	3	2336939.0	9999.0	58.0	2336902.0	2336896.0	2336938.0	2336938.0	208	2336937.0
50.5	7.5	1	2	2	60	2	6.5	3	99	2	44.5	3	1.5	0	16	60	-5.0	None	5	2336948.0	9999.0	55.0	2336902.0	2336896.0	2336947.0	2336947.0	208	2336945.0
59.0	7.5	1	2	1	124	2	6.5	5	99	2	53.0	1	1.0	0	16	124	0.0	None	0	2336957.0	9999.0	124.0	2336902.0	2336896.0	2336955.0	2336955.0	208	2336954.0
69.5	7.5	1	2	6	160	2	6.5	7	99	2	63.5	7	3.0	0	16	160	-20.0	None	20	2336967.0	9999.0	140.0	2336902.0	2336896.0	2336966.0	2336966.0	208	2336963.0
79.0	7.5	1	2	5	75	2	6.5	5	99	2	73.0	5	2.0	0	16	75	16.0	None	16	2336977.0	9999.0	91.0	2336902.0	2336896.0	2336975.0	2336975.0	208	2336973.0
87.5	7.5	1	2	1	74	2	6.5	4	99	2	81.5	3	1.0	0	16	74	15.0	None	15	2336985.0	9999.0	89.0	2336902.0	2336896.0	2336984.0	2336984.0	208	2336983.0
96.0	7.5	1	2	2	63	2	6.5	5	99	2	90.0	3	1.0	0	16	63	-1.0	None	1	2336994.0	9999.0	62.0	2336902.0	2336896.0	2336992.0	2336992.0	208	2336991.0
105.5	7.5	1	2	3	128	2	6.5	4	99	2	99.5	4	2.0	0	16	128	-1.0	None	1	2337003.0	9999.0	127.0	2336902.0	2336896.0	2337002.0	2337002.0	208	2337000.0
114.5	7.5	1	2	6	175	2	6.5	7	99	2	108.5	7	1.5	0	16	175	-7.0	None	7	2337012.0	9999.0	168.0	2336902.0	2336896.0	2337011.0	2337011.0	208	2337009.0
126.5	7.5	1	2	2	131	2	6.5	5	99	2	120.5	3	4.5	0	16	131	-5.0	None	5	2337024.0	9999.0	126.0	2336902.0	2336896.0	2337023.0	2337023.0	208	2337018.0
135.5	7.5	1	2	4	29	2	6.5	5	99	2	129.5	4	1.5	0	16	29	7.0	None	7	2337033.0	9999.0	36.0	2336902.0	2336896.0	2337032.0	2337032.0	208	2337030.0
146.0	7.5	1	2	3	111	2	6.5	5	99	2	140.0	5	3.0	0	16	111	-81.0	None	81	2337044.0	9999.0	30.0	2336902.0	2336896.0	2337042.0	2337042.0	208	2337039.0
154.5	7.5	1	2	1	134	2	6.5	7	99	2	148.5	1	1.0	0	16	134	1.0	None	1	2337052.0	9999.0	135.0	2336902.0	2336896.0	2337051.0	2337051.0	208	2337050.0
165.0	7.5	1	2	4	36	2	6.5	8	99	2	159.0	5	3.0	0	16	36	-6.0	None	6	2337063.0	9999.0	30.0	2336902.0	2336896.0	2337061.0	2337061.0	208	2337058.0
176.5	7.5	1	2	2	120	2	6.5	6	99	2	170.5	4	4.0	0	16	120	6.0	None	6	2337074.0	9999.0	126.0	2336902.0	2336896.0	2337073.0	2337073.0	208	2337069.0
185.5	7.5	1	2	6	34	2	6.5	7	99	2	179.5	7	1.5	0	16	34	1.0	None	1	2337083.0	9999.0	35.0	2336902.0	2336896.0	2337082.0	2337082.0	208	2337080.0
196.0	7.5	1	2	1	49	2	6.5	2	99	2	190.0	1	3.0	0	16	49	-5.0	None	5	2337094.0	9999.0	44.0	2336902.0	2336896.0	2337092.0	2337092.0	208	2337089.0
205.5	7.5	1	2	2	16	2	6.5	2	99	2	199.5	4	2.0	0	16	16	-2.0	None	2	2337103.0	9999.0	14.0	2336902.0	2336896.0	2337102.0	2337102.0	208	2337100.0
214.0	7.5	1	2	1	126	2	6.5	3	99	2	208.0	4	1.0	0	16	126	-2.0	None	2	2337112.0	9999.0	124.0	2336902.0	2336896.0	2337110.0	2337110.0	208	2337109.0
222.5	7.5	1	2	2	176	2	6.5	3	99	2	216.5	4	1.0	0	16	176	-168.0	None	168	2337120.0	9999.0	8.0	2336902.0	2336896.0	2337119.0	2337119.0	208	2337118.0
235.0	7.5	1	2	2	33	2	6.5	3	99	2	229.0	4	5.0	0	16	33	-10.0	None	10	2337133.0	9999.0	23.0	2336902.0	2336896.0	2337131.0	2337131.0	208	2337126.0
245.5	7.5	1	2	5	128	2	6.5	5	99	2	239.5	5	3.0	0	16	128	-4.0	None	4	2337143.0	9999.0	124.0	2336902.0	2336896.0	2337142.0	2337142.0	208	2337139.0
255.0	7.5	1	2	1	156	2	6.5	5	99	2	249.0	4	2.0	0	16	156	-29.0	None	29	2337153.0	9999.0	127.0	2336902.0	2336896.0	2337151.0	2337151.0	208	2337149.0
264.0	7.5	1	2	4	102	2	6.5	9	99	2	258.0	4	1.5	0	16	102	-66.0	None	66	2337162.0	9999.0	36.0	2336902.0	2336896.0	2337160.0	2337160.0	208	2337159.0
274.5	7.5	1	2	1	113	2	6.5	5	99	2	268.5	5	3.0	0	16	113	0.0	None	0	2337172.0	9999.0	113.0	2336902.0	2336896.0	2337171.0	2337171.0	208	2337168.0
284.0	7.5	1	2	6	23	2	6.5	8	99	2	278.0	7	2.0	0	16	23	-13.0	None	13	2337182.0	9999.0	10.0	2336902.0	2336896.0	2337180.0	2337180.0	208	2337178.0
293.0	7.5	1	2	1	10	2	6.5	9	99	2	287.0	1	1.5	0	16	10	4.0	None	4	2337191.0	9999.0	14.0	2336902.0	2336896.0	2337189.0	2337189.0	208	2337188.0
302.5	7.5	1	2	1	160	2	6.5	3	99	2	296.5	4	2.0	0	16	160	10.0	None	10	2337200.0	9999.0	170.0	2336902.0	2336896.0	2337199.0	2337199.0	208	2337197.0
311.0	7.5	1	2	3	156	2	6.5	6	99	2	305.0	5	1.0	0	16	156	-144.0	None	144	2337209.0	9999.0	12.0	2336902.0	2336896.0	2337207.0	2337207.0	208	2337206.0
320.5	7.5	1	2	1	16	2	6.5	7	99	2	314.5	1	2.0	0	16	16	2.0	None	2	2337218.0	9999.0	18.0	2336902.0	2336896.0	2337217.0	2337217.0	208	2337215.0
329.5	7.5	1	2	1	134	2	6.5	4	99	2	323.5	1	1.5	0	16	134	3.0	None	3	2337227.0	9999.0	137.0	2336902.0	2336896.0	2337226.0	2337226.0	208	2337224.0
338.0	7.5	1	2	3	103	2	6.5	4	99	2	332.0	7	1.0	0	16	103	11.0	None	11	2337236.0	9999.0	114.0	2336902.0	2336896.0	2337234.0	2337234.0	208	2337233.0
347.0	7.5	1	2	3	139	2	6.5	3	99	2	341.0	7	1.5	0	16	139	-14.0	None	14	2337245.0	9999.0	125.0	2336902.0	2336896.0	2337243.0	2337243.0	208	2337242.0
356.0	7.5	1	2	2	26	2	6.5	2	99	2	350.0	3	1.5	0	16	26	3.0	None	3	2337254.0	9999.0	29.0	2336902.0	2336896.0	2337252.0	2337252.0	208	2337251.0
367.0	7.5	1	2	1	141	2	6.5	2	99	2	361.0	1	3.5	0	16	141	16.0	None	16	2337265.0	9999.0	157.0	2336902.0	2336896.0	2337263.0	2337263.0	208	2337260.0
375.5	7.5	1	2	1	112	2	6.5	2	99	2	369.5	1	1.0	0	16	112	1.0	None	1	2337273.0	9999.0	113.0	2336902.0	2336896.0	2337272.0	2337272.0	208	2337271.0
385.5	7.5	1	2	3	37	2	6.5	7	99	2	379.5	5	2.5	0	16	37	75.0	None	75	2337283.0	9999.0	112.0	2336902.0	2336896.0	2337282.0	2337282.0	208	2337279.0
394.0	7.5	1	2	7	63	2	6.5	8	99	2	388.0	7	1.0	0	16	63	36.0	None	36	2337292.0	9999.0	99.0	2336902.0	2336896.0	2337290.0	2337290.0	208	2337289.0
403.5	7.5	1	2	5	146	2	6.5	7	99	2	397.5	7	2.0	0	16	146	-133.0	None	133	2337301.0	9999.0	13.0	2336902.0	2336896.0	2337300.0	2337300.0	208	2337298.0
412.0	7.5	1	2	1	119	2	6.5	4	99	2	406.0	1	1.0	0	16	119	-2.0	None	2	2337310.0	9999.0	117.0	2336902.0	2336896.0	2337308.0	2337308.0	208	2337307.0
421.0	7.5	1	2	3	13	2	6.5	3	99	2	415.0	3	1.5	0	16	13	-1.0	None	1	2337319.0	9999.0	12.0	2336902.0	2336896.0	2337317.0	2337317.0	208	2337316.0
430.5	7.5	1	2	3	52	2	6.5	3	99	2	424.5	3	2.0	0	16	52	4.0	None	4	2337328.0	9999.0	56.0	2336902.0	2336896.0	2337327.0	2337327.0	208	2337325.0
441.0	7.5	1	2	1	126	2	6.5	1	99	2	435.0	3	3.0	0	16	126	3.0	None	3	2337339.0	9999.0	129.0	2336902.0	2336896.0	2337337.0	2337337.0	208	2337334.0
450.0	7.5	1	2	4	164	2	6.5	4	99	2	444.0	4	1.5	0	16	164	-9.0	None	9	2337348.0	9999.0	155.0	2336902.0	2336896.0	2337346.0	2337346.0	208	2337345.0
458.5	7.5	1	2	1	109	2	6.5	4	99	2	452.5	1	1.0	0	16	109	-1.0	None	1	2337356.0	9999.0	108.0	2336902.0	2336896.0	2337355.0	2337355.0	208	2337354.0
467.0	7.5	1	2	6	39	2	6.5	8	99	2	461.0	7	1.0	0	16	39	124.0	None	124	2337365.0	9999.0	163.0	2336902.0	2336896.0	2337363.0	2337363.0	208	2337362.0
477.0	7.5	1	2	7	170	2	6.5	9	99	2	471.0	7	2.5	0	16	170	-49.0	None	49	2337375.0	9999.0	121.0	2336902.0	2336896.0	2337373.0	2337373.0	208	2337371.0
486.0	7.5	1	2	2	35	2	6.5	3	99	2	480.0	5	1.5	0	16	35	-10.0	None	10	2337384.0	9999.0	25.0	2336902.0	2336896.0	2337382.0	2337382.0	208	2337381.0
494.5	7.5	1	2	3	62	2	6.5	3	99	2	488.5	3	1.0	0	16	62	-8.0	None	8	2337392.0	9999.0	54.0	2336902.0	2336896.0	2337391.0	2337391.0	208	2337390.0
504.0	7.5	1	2	1	13	2	6.5	7	99	2	498.0	1	2.0	0	16	13	0.0	None	0	2337402.0	9999.0	13.0	2336902.0	2336896.0	2337400.0	2337400.0	208	2337398.0
513.0	7.5	1	2	1	103	2	6.5	6	99	2	507.0	1	1.5	0	16	103	-5.0	None	5	2337411.0	9999.0	98.0	2336902.0	2336896.0	2337409.0	2337409.0	208	2337408.0
526.5	7.5	1	2	3	44	2	6.5	6	99	2	520.5	5	6.0	0	16	44	14.0	None	14	2337424.0	9999.0	58.0	2336902.0	2336896.0	2337423.0	2337423.0	208	2337417.0
536.5	7.5	1	2	4	119	2	6.5	6	99	2	530.5	7	2.5	0	16	119	20.0	None	20	2337434.0	9999.0	139.0	2336902.0	2336896.0	2337433.0	2337433.0	208	2337430.0
545.0	7.5	1	2	3	159	2	6.5	7	99	2	539.0	3	1.0	0	16	159	-2.0	None	2	2337443.0	9999.0	157.0	2336902.0	2336896.0	2337441.0	2337441.0	208	2337440.0
553.5	7.5	1	2	2	68	2	6.5	3	99	2	547.5	5	1.0	0	16	68	32.0	None	32	2337451.0	9999.0	100.0	2336902.0	2336896.0	2337450.0	2337450.0	208	2337449.0
562.0	7.5	1	2	3	97	2	6.5	5	99	2	556.0	5	1.0	0	16	97	-11.0	None	11	2337460.0	9999.0	86.0	2336902.0	2336896.0	2337458.0	2337458.0	208	2337457.0
